Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
122740126,KM01,12090336,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:17:07 AM,09/30/2012 10:19:02 AM,09/30/2012 10:20:53 AM,,09/30/2012 10:27:49 AM,,,Fire,09/30/2012 10:42:31 AM,400 Block of LINCOLN WAY,SF,94122,B08,22,7325,2,2,2,false,Non Life-threatening,1,PRIVATE,2,7,5,Inner Sunset,"(37.7659817250869, -122.46269332684)",122740126-KM01
122740127,KM05,12090337,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:23:19 AM,09/30/2012 10:25:04 AM,09/30/2012 10:25:20 AM,09/30/2012 10:25:47 AM,09/30/2012 10:40:45 AM,09/30/2012 10:57:21 AM,09/30/2012 11:09:03 AM,Code 2 Transport,09/30/2012 11:35:20 AM,700 Block of BRUNSWICK ST,SF,94112,B09,33,6214,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,9,11,Excelsior,"(37.7086491717857, -122.448732919576)",122740127-KM05
122740129,57,12090338,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:26:10 AM,09/30/2012 10:27:32 AM,09/30/2012 10:27:53 AM,09/30/2012 10:28:34 AM,,,,Other,,800 Block of MARKET ST,SF,94102,B03,01,2209,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,3,3,Tenderloin,"(37.7843455364627, -122.407785146121)",122740129-57
122740129,87,12090338,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:26:10 AM,09/30/2012 10:27:32 AM,09/30/2012 10:27:53 AM,,,,,Other,09/30/2012 10:46:34 AM,800 Block of MARKET ST,SF,94102,B03,01,2209,2,2,2,true,Potentially Life-Threatening,1,MEDIC,3,3,3,Tenderloin,"(37.7843455364627, -122.407785146121)",122740129-87
122740129,E01,12090338,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:26:10 AM,09/30/2012 10:27:32 AM,09/30/2012 10:27:53 AM,09/30/2012 10:28:33 AM,09/30/2012 10:46:30 AM,,,No Merit,09/30/2012 10:46:34 AM,800 Block of MARKET ST,SF,94102,B03,01,2209,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,3,3,Tenderloin,"(37.7843455364627, -122.407785146121)",122740129-E01
122740129,KM04,12090338,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:26:10 AM,09/30/2012 10:27:32 AM,09/30/2012 10:27:53 AM,,,,,Other,09/30/2012 10:34:28 AM,800 Block of MARKET ST,SF,94102,B03,01,2209,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,4,3,3,Tenderloin,"(37.7843455364627, -122.407785146121)",122740129-KM04
122740130,E34,12090339,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:27:15 AM,09/30/2012 10:28:08 AM,09/30/2012 10:28:44 AM,09/30/2012 10:29:11 AM,09/30/2012 10:30:51 AM,,,No Merit,09/30/2012 10:32:15 AM,400 Block of 38TH AVE,SF,94121,B07,34,7256,3,2,2,true,Potentially Life-Threatening,1,ENGINE,1,7,1,Outer Richmond,"(37.7811631109681, -122.498716425482)",122740130-E34
122740130,KM04,12090339,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:27:15 AM,09/30/2012 10:28:08 AM,09/30/2012 10:28:44 AM,09/30/2012 10:29:59 AM,,,,Other,09/30/2012 10:32:15 AM,400 Block of 38TH AVE,SF,94121,B07,34,7256,3,2,2,false,Potentially Life-Threatening,1,PRIVATE,2,7,1,Outer Richmond,"(37.7811631109681, -122.498716425482)",122740130-KM04
122740131,57,12090340,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:29:02 AM,09/30/2012 10:30:27 AM,09/30/2012 10:31:03 AM,,09/30/2012 10:43:32 AM,09/30/2012 11:12:42 AM,09/30/2012 11:39:15 AM,Code 2 Transport,09/30/2012 12:08:48 PM,300 Block of BUENAVISTAEAST AV,SF,94117,B05,21,5136,2,2,2,true,Potentially Life-Threatening,1,MEDIC,3,5,8,Castro/Upper Market,"(37.7667916111324, -122.440720545257)",122740131-57
122740131,87,12090340,Medical Incident,09/30/2012,09/30/2012,09/30/2012 10:29:02 AM,09/30/2012 10:30:27 AM,09/30/2012 10:31:03 AM,09/30/2012 10:31:30 AM,,,,Other,09/30/2012 10:36:05 AM,300 Block of BUENAVISTAEAST AV,SF,94117,B05,21,5136,2,2,2,true,Potentially Life-Threatening,1,MEDIC,5,5,8,Castro/Upper Market,"(37.7667916111324, -122.440720545257)",122740131-87
