CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1996907,17000167763,2017167763,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 23:57,LANHAM PL SW / SW GRAHAM ST,F,F1,10702.2,-122.373,47.54666,"(47.54666, -122.37322)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1996895,17000167717,2017167717,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 23:51,9XX BLOCK OF N 130 ST,N,N2,401.1009,-122.347,47.72321,"(47.723213, -122.34659)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 22:49
1996897,17000167580,2017167580,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,5/12/2017 23:48,16XX BLOCK OF 3 AV,M,M1,8100.201,-122.339,47.6112,"(47.611202, -122.33912)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1996889,17000167773,2017167773,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,5/12/2017 23:46,RAINIER AV S / S FRONTENAC ST,S,S2,11102.4,-122.271,47.5398,"(47.539803, -122.27094)","NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCES,NOISE DISTURBANCE,
1996893,17000167746,2017167746,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 23:45,28XX BLOCK OF 15 AV W,Q,Q2,5802.2,-122.376,47.64566,"(47.645664, -122.37627)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 23:08
1996890,17000167772,2017167772,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,5/12/2017 23:42,15XX BLOCK OF BELLEVUE AV,E,E3,8400.3,-122.327,47.61466,"(47.614655, -122.32681)","NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCES,DISTURBANCES,
1996894,17000167727,2017167727,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,5/12/2017 23:42,8XX BLOCK OF 15 AV,G,G2,8700.101,-122.313,47.6098,"(47.609795, -122.312836)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1996896,17000167707,2017167707,161,TRESPASS,TRESPASS,TRESPASS,5/12/2017 23:40,44XX BLOCK OF FREMONT AV N,B,B2,4900.502,-122.35,47.66049,"(47.66049, -122.35003)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 22:43
1996892,17000167754,2017167754,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,5/12/2017 23:38,59XX BLOCK OF S EASTWOOD DR,S,S3,11900.3,-122.258,47.50369,"(47.503685, -122.25841)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1996891,17000167768,2017167768,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,5/12/2017 23:35,3XX BLOCK OF 2 AV S,K,K3,9200.203,-122.331,47.60046,"(47.600464, -122.33081)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1996884,17000167632,2017167632,161,TRESPASS,TRESPASS,TRESPASS,5/12/2017 23:33,23XX BLOCK OF CALIFORNIA AV SW,W,W1,9600.201,-122.387,47.5821,"(47.582096, -122.38651)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 21:43
1996885,17000167601,2017167601,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 23:28,60XX BLOCK OF 47 AV S,R,R3,10200.3,-122.274,47.54713,"(47.547134, -122.27371)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/12/2017 21:21
1996878,17000167739,2017167739,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 23:27,12XX BLOCK OF S CLOVERDALE ST,F,F3,11200.3,-122.316,47.52644,"(47.526443, -122.316246)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1996880,17000167718,2017167718,51,"BURGLARY - RESIDENTIAL, OCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,5/12/2017 23:23,83XX BLOCK OF 30 AV NW,J,J2,3100.501,-122.396,47.68963,"(47.689632, -122.395744)",BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURGLARY,RESIDENTIAL BURGLARIES,5/12/2017 22:44
1996877,17000167742,2017167742,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,5/12/2017 23:23,N 104 ST / DAYTON AV N,J,J1,1701.3,-122.353,47.70435,"(47.70435, -122.35275)",FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,
1996879,17000167730,2017167730,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 23:22,20 AV S / S JACKSON ST,G,G3,9000.101,-122.306,47.59925,"(47.59925, -122.30636)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996887,17000167462,2017167462,64,SHOPLIFT,THEFT,SHOPLIFTING,5/12/2017 23:20,73XX BLOCK OF DELRIDGE WY SW,F,F1,10701.2,-122.361,47.53604,"(47.53604, -122.3613)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,5/12/2017 19:16
1996881,17000167716,2017167716,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 23:17,ALASKAN WY VI NB / SENECA ST,K,K1,8100.101,-122.339,47.60534,"(47.60534, -122.33941)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996886,17000167567,2017167567,161,TRESPASS,TRESPASS,TRESPASS,5/12/2017 23:17,DENNY WY / AURORA AV N,D,D2,7200.2,-122.343,47.61855,"(47.618553, -122.343376)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 20:44
1996876,17000167743,2017167743,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 23:15,103XX BLOCK OF 51 AV S,S,S3,11900.5,-122.27,47.5079,"(47.507904, -122.2701)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996872,17000167484,2017167484,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,5/12/2017 23:13,67XX BLOCK OF HOLLY PL SW,W,W3,10600.4,-122.391,47.54262,"(47.54262, -122.391075)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,5/12/2017 20:26
1996871,17000167531,2017167531,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 23:08,1 AV / PIKE ST,M,M1,8100.3,-122.34,47.60882,"(47.608818, -122.34002)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 20:44
1996870,17000167573,2017167573,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 23:05,15XX BLOCK OF 1 AV,M,M1,8100.3,-122.34,47.60932,"(47.609318, -122.34047)",TRESPASS,TRESPASS,TRESPASS,5/12/2017 20:54
1996867,17000167728,2017167728,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:59,40 AV NE / NE 55 ST,U,U3,4200.202,-122.285,47.66851,"(47.66851, -122.28483)",FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,
1996866,17000167729,2017167729,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 22:56,13XX BLOCK OF 1 AV,M,M1,8100.1,-122.339,47.60733,"(47.60733, -122.33865)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996861,17000167604,2017167604,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,5/12/2017 22:51,82XX BLOCK OF 20 AV NE,U,U1,2500.1,-122.307,47.6894,"(47.689396, -122.30683)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1996857,17000167640,2017167640,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:46,12XX BLOCK OF S CLOVERDALE ST,F,F3,11200.3,-122.316,47.52644,"(47.526443, -122.316246)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:00
1996859,17000167631,2017167631,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,5/12/2017 22:44,31XX BLOCK OF W LAURELHURST DR NE,U,U3,4100.602,-122.278,47.65085,"(47.65085, -122.278244)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1996858,17000167639,2017167639,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:42,26XX BLOCK OF SW BARTON ST,F,F2,11402.1,-122.367,47.52103,"(47.521027, -122.36731)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1996860,17000167626,2017167626,64,SHOPLIFT,THEFT,SHOPLIFTING,5/12/2017 22:41,28XX BLOCK OF SW BARTON ST,F,F2,11402.1,-122.369,47.52104,"(47.521038, -122.36935)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,5/12/2017 21:50
1996863,17000167515,2017167515,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,5/12/2017 22:41,PINEHURST WY NE / NE 117 ST,L,L1,600.2005,-122.313,47.71398,"(47.713978, -122.312836)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,5/12/2017 20:07
1996862,17000167566,2017167566,101,"FORGERY, BAD CHECKS",FRAUD CALLS,FRAUD CALLS,5/12/2017 22:36,34XX BLOCK OF 23 AV S,R,R1,10002.4,-122.303,47.57251,"(47.572506, -122.3034)","FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC",FRAUD CALLS,FRAUD CALLS,5/12/2017 20:56
1996852,17000167352,2017167352,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",5/12/2017 22:34,143XX BLOCK OF MIDVALE AV N,N,N2,300.2009,-122.344,47.7328,"(47.732803, -122.34399)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,5/12/2017 20:47
1996837,17000167695,2017167695,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",5/12/2017 22:32,24XX BLOCK OF 1 AV,D,D1,8001.201,-122.348,47.61442,"(47.61442, -122.34828)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,
1996848,17000167463,2017167463,64,SHOPLIFT,THEFT,SHOPLIFTING,5/12/2017 22:31,72XX BLOCK OF SAND POINT WY NE,U,U3,4000.103,-122.264,47.68074,"(47.680744, -122.26365)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,5/12/2017 19:20
1996850,17000167412,2017167412,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,5/12/2017 22:31,HOLMAN RD N / N 104 ST,J,J1,1400.301,-122.357,47.70437,"(47.704365, -122.356865)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,5/12/2017 19:46
1996844,17000167638,2017167638,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:28,7XX BLOCK OF E MERCER ST,E,E1,7401.2,-122.323,47.62427,"(47.62427, -122.32252)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 21:50
1996851,17000167390,2017167390,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/12/2017 22:27,141XX BLOCK OF LINDEN AV N,N,N2,401.1006,-122.348,47.73168,"(47.731678, -122.34777)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/12/2017 20:20
1996839,17000167685,2017167685,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 22:27,12 AV / E UNION ST,E,E2,7500.401,-122.317,47.61289,"(47.61289, -122.316734)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996842,17000167673,2017167673,203,ALACAD - RESIDENTIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,5/12/2017 22:25,21XX BLOCK OF S STATE ST,R,R2,9400.204,-122.305,47.58773,"(47.58773, -122.30456)",ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,ALACAD,SUSPICIOUS CIRCUMSTANCES,
1996843,17000167657,2017167657,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,5/12/2017 22:24,2 AV / YESLER WY,K,K2,9200.201,-122.332,47.60172,"(47.601715, -122.331985)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1996849,17000167459,2017167459,50,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,5/12/2017 22:24,7XX BLOCK OF S ORCAS ST,O,O3,10900.21,-122.324,47.55084,"(47.550842, -122.32376)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,5/12/2017 19:54
1996845,17000167622,2017167622,350,HAZARDS,HAZARDS,HAZARDS,5/12/2017 22:20,JOHN ST / AURORA AV N,D,D2,7200.104,-122.344,47.61972,"(47.61972, -122.343506)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,
1996840,17000167684,2017167684,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,5/12/2017 22:17,PIKE ST / 3 AV,M,M3,8100.201,-122.338,47.60975,"(47.60975, -122.33779)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1996841,17000167674,2017167674,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,5/12/2017 22:15,5XX BLOCK OF E PIKE ST,E,E3,8400.101,-122.325,47.61409,"(47.61409, -122.32499)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,
1996823,17000167659,2017167659,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 22:12,30XX BLOCK OF 52 AV SW,W,W1,9702.501,-122.398,47.57665,"(47.576653, -122.39797)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
1996829,17000167595,2017167595,161,TRESPASS,TRESPASS,TRESPASS,5/12/2017 22:09,8XX BLOCK OF NW 95 ST,J,J1,1702.3,-122.367,47.69787,"(47.69787, -122.36671)",TRESPASS,TRESPASS,TRESPASS,
1996822,17000167660,2017167660,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 22:09,3XX BLOCK OF 2 AV S,K,K3,9200.203,-122.331,47.60046,"(47.600464, -122.33081)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996835,17000167448,2017167448,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,5/12/2017 22:07,3XX BLOCK OF NW 112 ST,N,N1,500.3015,-122.363,47.71038,"(47.710384, -122.362595)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,5/12/2017 19:29
1996832,17000167516,2017167516,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:07,51XX BLOCK OF 47 AV NE,U,U3,4100.4,-122.277,47.66635,"(47.66635, -122.27736)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1996820,17000167670,2017167670,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,5/12/2017 22:07,NE 75 ST / 25 AV NE,U,U3,2500.2,-122.301,47.68304,"(47.683044, -122.30076)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1996821,17000167663,2017167663,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/12/2017 22:06,7XX BLOCK OF E PINE ST,E,E2,8400.101,-122.323,47.61523,"(47.615227, -122.32277)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
1996834,17000167461,2017167461,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",5/12/2017 22:05,27XX BLOCK OF NE 137 ST,L,L1,200.1008,-122.298,47.72824,"(47.72824, -122.298485)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",5/12/2017 19:37
1996826,17000167635,2017167635,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,5/12/2017 22:04,29XX BLOCK OF 4 AV S,O,O2,9300.322,-122.329,47.57665,"(47.57665, -122.329056)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
