Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
41720002,E03,4047967,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:00,6/20/2004 0:02,6/20/2004 0:02,6/20/2004 0:03,,,,Other,6/20/2004 0:05,1700 Block of BUSH ST,SF,94109,B04,38,3255,3,3,3,TRUE,,1,ENGINE,3,4,5,Pacific Heights,"(37.7880205484715, -122.426061561298)",041720002-E03
41720002,E38,4047967,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:00,6/20/2004 0:02,6/20/2004 0:02,6/20/2004 0:04,6/20/2004 0:05,,,Other,6/20/2004 0:13,1700 Block of BUSH ST,SF,94109,B04,38,3255,3,3,3,FALSE,,1,ENGINE,2,4,5,Pacific Heights,"(37.7880205484715, -122.426061561298)",041720002-E38
41720002,M05,4047967,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:00,6/20/2004 0:02,6/20/2004 0:02,6/20/2004 0:03,6/20/2004 0:07,6/20/2004 0:57,6/20/2004 1:06,Other,6/20/2004 1:26,1700 Block of BUSH ST,SF,94109,B04,38,3255,3,3,3,TRUE,,1,MEDIC,1,4,5,Pacific Heights,"(37.7880205484715, -122.426061561298)",041720002-M05
41720003,E06,4047968,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:03,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:07,6/20/2004 0:09,,,Other,6/20/2004 0:28,300 Block of DOLORES ST,SF,94110,B02,6,5251,E,E,3,TRUE,,1,ENGINE,3,2,8,Mission,"(37.7635158382169, -122.426118705944)",041720003-E06
41720003,M07,4047968,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:03,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:07,,,,Other,6/20/2004 0:08,300 Block of DOLORES ST,SF,94110,B02,6,5251,E,E,3,TRUE,,1,MEDIC,4,2,8,Mission,"(37.7635158382169, -122.426118705944)",041720003-M07
41720003,M29,4047968,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:03,6/20/2004 0:05,6/20/2004 0:06,,6/20/2004 0:17,6/20/2004 0:40,6/20/2004 0:57,Other,6/20/2004 1:14,300 Block of DOLORES ST,SF,94110,B02,6,5251,E,E,3,TRUE,,1,MEDIC,1,2,8,Mission,"(37.7635158382169, -122.426118705944)",041720003-M29
41720003,RC3,4047968,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:03,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:08,6/20/2004 0:14,,,Other,6/20/2004 0:30,300 Block of DOLORES ST,SF,94110,B02,6,5251,E,E,3,TRUE,,1,RESCUE CAPTAIN,2,2,8,Mission,"(37.7635158382169, -122.426118705944)",041720003-RC3
41720004,E07,4047969,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:06,6/20/2004 0:08,,,,Other,6/20/2004 0:12,2800 Block of 24TH ST,SF,94110,B06,7,5527,3,3,3,TRUE,,1,ENGINE,3,6,9,Mission,"(37.7528220751267, -122.40960340614)",041720004-E07
41720004,M07,4047969,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:06,,6/20/2004 0:10,6/20/2004 0:17,6/20/2004 0:19,Other,6/20/2004 0:40,2800 Block of 24TH ST,SF,94110,B06,7,5527,3,3,3,TRUE,,1,MEDIC,1,6,9,Mission,"(37.7528220751267, -122.40960340614)",041720004-M07
41720004,M29,4047969,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:06,,,,,Other,6/20/2004 0:08,2800 Block of 24TH ST,SF,94110,B06,7,5527,3,3,3,TRUE,,1,MEDIC,4,6,9,Mission,"(37.7528220751267, -122.40960340614)",041720004-M29
41720004,RC4,4047969,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:05,6/20/2004 0:06,6/20/2004 0:06,6/20/2004 0:08,,,,Other,6/20/2004 0:14,2800 Block of 24TH ST,SF,94110,B06,7,5527,3,3,3,TRUE,,1,RESCUE CAPTAIN,2,6,9,Mission,"(37.7528220751267, -122.40960340614)",041720004-RC4
41720005,M41,4047970,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:04,6/20/2004 0:08,6/20/2004 0:09,6/20/2004 0:12,6/20/2004 0:20,,,Other,6/20/2004 0:28,900 Block of GEARY ST,SF,94109,B04,3,3116,1,1,2,TRUE,,1,MEDIC,1,4,6,Tenderloin,"(37.7859427265455, -122.418902557609)",041720005-M41
41720006,M43,4047971,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:09,6/20/2004 0:09,6/20/2004 0:10,6/20/2004 0:13,6/20/2004 0:16,,,Other,6/20/2004 0:20,400 Block of LISBON ST,SF,94112,B09,43,6134,2,2,2,TRUE,,1,MEDIC,1,9,11,Excelsior,"(37.7212508959999, -122.434254898637)",041720006-M43
41720007,E13,4047972,Structure Fire,6/20/2004,6/19/2004,6/20/2004 0:12,6/20/2004 0:12,6/20/2004 0:12,6/20/2004 0:13,6/20/2004 0:16,,,Other,6/20/2004 0:17,GREENWICH ST/SANSOME ST,SF,94111,B01,13,1215,3,3,3,TRUE,,1,ENGINE,1,1,3,Financial District/South Beach,"(37.8030983792049, -122.403159606695)",041720007-E13
41720007,T13,4047972,Structure Fire,6/20/2004,6/19/2004,6/20/2004 0:12,6/20/2004 0:12,6/20/2004 0:12,6/20/2004 0:14,6/20/2004 0:16,,,Other,6/20/2004 0:17,GREENWICH ST/SANSOME ST,SF,94111,B01,13,1215,3,3,3,FALSE,,1,TRUCK,2,1,3,Financial District/South Beach,"(37.8030983792049, -122.403159606695)",041720007-T13
41720008,E36,4047973,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:10,6/20/2004 0:13,6/20/2004 0:14,6/20/2004 0:16,6/20/2004 0:19,,,Other,6/20/2004 0:28,16TH ST/VALENCIA ST,SF,94103,B02,6,5226,3,3,3,TRUE,,1,ENGINE,2,2,8,Mission,"(37.7649173790256, -122.421886447232)",041720008-E36
41720008,M36,4047973,Medical Incident,6/20/2004,6/19/2004,6/20/2004 0:10,6/20/2004 0:13,6/20/2004 0:14,6/20/2004 0:16,6/20/2004 0:19,6/20/2004 0:28,,Other,6/20/2004 0:57,16TH ST/VALENCIA ST,SF,94103,B02,6,5226,3,3,3,TRUE,,1,MEDIC,1,2,8,Mission,"(37.7649173790256, -122.421886447232)",041720008-M36
