,count
0,89
1,75
2,60
3,26
4,33
5,18
6,27
7,11
8,36
9,20
10,23
11,38
12,37
13,22
14,38
15,41
16,28
17,43
18,40
19,23
20,29
21,19
22,22
23,19
24,23
25,16
26,16
27,14
28,6
29,16
30,10
31,20
32,14
33,30
34,41
35,29
36,33
37,44
38,29
39,29
40,26
41,39
42,34
43,39
44,28
45,38
46,15
47,16
48,7
49,8
50,13
51,14
52,7
53,9
54,6
55,12
56,25
57,28
58,24
59,30
60,23
61,36
62,37
63,42
64,31
65,26
66,44
67,49
68,45
69,38
70,15
71,18
72,22
73,13
74,12
75,14
76,5
77,12
78,16
79,20
80,27
81,42
82,30
83,59
84,49
85,42
86,15
87,54
88,44
89,40
90,34
91,26
92,46
93,17
94,34
95,26
96,36
97,16
98,2
99,3
100,9
101,11
102,11
103,17
104,54
105,40
106,55
107,15
108,37
109,26
110,48
111,57
112,56
113,30
114,41
115,29
116,49
117,20
118,23
119,16
120,21
121,18
122,33
123,11
124,23
125,15
126,7
127,12
128,23
129,28
130,30
131,21
132,26
133,25
134,30
135,36
136,24
137,34
138,42
139,33
140,32
141,28
142,12
143,22
144,15
145,40
146,21
147,17
148,20
149,9
150,13
151,10
152,38
153,15
154,21
155,28
156,40
157,19
158,8
159,52
160,22
161,27
162,45
163,27
164,25
165,57
166,43
167,12
168,18
169,30
170,7
171,8
172,23
173,14
174,33
175,23
176,26
177,42
178,27
179,35
180,22
181,26
182,43
183,42
184,29
185,17
186,20
187,23
188,47
189,22
190,22
191,18
192,4
193,18
194,13
195,9
196,7
197,11
198,14
199,19
200,13
201,34
202,33
203,41
204,50
205,36
206,40
207,21
208,34
209,33
210,16
211,35
212,27
213,33
214,20
215,13
216,12
217,20
218,6
219,5
220,28
221,3
222,11
223,40
224,17
225,58
226,33
227,31
228,38
229,56
230,26
231,34
232,23
233,31
234,17
235,34
236,9
237,26
238,17
239,9
240,12
241,2
242,8
243,7
244,9
245,5
246,7
247,17
248,16
249,27
250,17
251,32
252,33
253,52
254,45
255,30
256,27
257,35
258,23
259,0
260,0
261,11
262,17
263,14
264,12
265,9
266,17
267,13
268,9
269,9
270,14
271,45
272,42
273,32
274,40
275,42
276,48
277,35
278,32
279,42
280,34
281,31
282,30
283,34
284,24
285,23
286,23
287,26
288,25
289,22
290,37
291,11
292,18
293,5
294,7
295,9
296,14
297,35
298,30
299,28
300,22
301,30
302,25
303,25
304,33
305,31
306,44
307,13
308,21
309,38
310,40
311,26
312,12
313,19
314,24
315,13
316,8
317,4
318,10
319,17
320,22
321,25
322,19
323,18
324,23
325,37
326,34
327,27
328,37
329,36
330,22
331,33
332,29
333,26
334,22
335,15
336,28
337,18
338,15
339,8
340,18
341,21
342,26
343,22
344,28
345,16
346,21
347,30
348,15
349,32
350,25
351,28
352,45
353,39
354,68
355,33
356,18
357,23
358,15
359,17
360,9
361,16
362,23
363,22
364,16
365,8
366,10
367,25
368,32
369,32
370,17
371,29
372,23
373,44
374,24
375,36
376,29
377,38
378,50
379,18
380,26
381,27
382,16
383,18
384,17
385,18
386,16
387,20
388,12
389,5
390,24
391,11
392,33
393,31
394,18
395,49
396,51
397,36
398,41
399,32
400,30
401,37
402,35
403,29
404,16
405,33
406,9
407,33
408,10
409,8
410,10
411,16
412,14
413,13
414,7
415,14
416,31
417,23
418,69
419,73
420,32
421,20
422,36
423,47
424,34
425,16
426,38
427,44
428,29
429,35
430,18
431,19
432,18
433,12
434,15
435,15
436,12
437,9
438,17
439,16
440,22
441,22
442,34
443,21
444,28
445,25
446,30
447,56
448,33
449,40
450,59
451,28
452,15
453,26
454,29
455,19
456,19
457,18
458,33
459,20
460,11
461,5
462,13
463,14
464,6
465,25
466,23
467,24
468,19
469,21
470,46
471,37
472,21
473,45
474,38
475,22
476,22
477,21
478,27
479,25
480,23
481,29
482,13
483,20
484,11
485,15
486,17
487,10
488,10
489,20
490,36
491,31
492,23
493,35
494,11
495,34
496,18
497,35
498,42
499,23
500,38
501,20
502,35
503,23
504,18
505,5
506,13
507,14
508,3
509,17
510,8
511,28
512,34
513,28
514,36
515,38
516,48
517,65
518,39
519,46
520,32
521,19
522,38
523,15
524,33
525,34
526,20
527,21
528,16
529,7
530,7
531,9
532,15
533,23
534,18
535,6
536,47
537,34
538,41
539,35
540,20
541,58
542,28
543,28
544,32
545,17
546,42
547,47
548,20
549,26
550,20
551,17
552,23
553,50
554,3
555,6
556,10
557,3
558,6
559,25
560,16
561,16
562,27
563,40
564,37
565,36
566,30
567,24
568,45
569,32
570,24
571,28
572,21
573,31
574,21
575,25
576,10
577,15
578,16
579,7
580,11
581,17
582,26
583,13
584,18
585,20
586,48
587,23
588,37
589,40
590,66
591,34
592,48
593,35
594,48
595,19
596,29
597,18
598,20
599,18
600,19
601,9
602,32
603,14
604,5
605,24
606,20
607,8
608,26
609,32
610,31
611,33
612,17
613,34
614,37
615,24
616,41
617,50
618,34
619,38
620,24
621,29
622,36
623,40
624,37
625,14
626,13
627,10
628,9
629,20
630,10
631,6
632,38
633,26
634,29
635,32
636,33
637,20
638,28
639,23
640,29
641,40
642,29
643,23
644,34
645,16
646,31
647,25
648,13
649,33
650,40
651,17
652,27
653,1
654,8
655,14
656,26
657,22
658,24
659,14
660,35
661,34
662,11
663,31
664,26
665,32
666,55
667,36
668,47
669,47
670,28
671,15
672,14
673,32
674,6
675,5
676,8
677,8
678,6
679,15
680,21
681,36
682,25
683,34
684,31
685,22
686,22
687,39
688,23
689,40
690,35
691,38
692,33
693,22
694,28
695,14
696,6
697,16
698,6
699,20
700,9
701,5
702,6
703,11
704,27
705,24
706,32
707,33
708,44
709,44
710,35
711,45
712,21
713,21
714,25
715,19
716,18
717,35
718,14
719,36
720,8
721,13
722,9
723,16
724,2
725,17
726,23
727,16
728,32
729,32
730,24
731,50
732,23
733,24
734,21
735,22
736,47
737,34
738,22
739,30
740,17
741,8
742,13
743,30
744,15
745,7
746,32
747,14
748,9
749,5
750,10
751,25
752,33
753,28
754,35
755,31
756,17
757,13
758,38
759,42
760,34
761,24
762,37
763,30
764,24
765,10
766,17
767,15
768,11
769,25
770,7
771,7
772,9
773,8
774,3
775,23
776,25
777,28
778,38
779,24
780,27
781,40
782,25
783,55
784,30
785,34
786,32
787,59
788,7
789,46
790,29
791,46
792,46
793,16
794,32
795,10
796,25
797,37
798,10
799,22
800,14
801,34
802,32
803,49
804,20
805,37
806,27
807,41
808,36
809,45
810,44
811,31
812,57
813,25
814,32
815,23
816,22
817,35
818,25
819,16
820,44
821,9
822,9
823,39
824,18
825,18
826,27
827,37
828,44
829,40
830,40
831,39
832,37
833,25
834,29
835,46
836,23
837,28
838,26
839,20
840,28
841,13
842,15
843,9
844,5
845,5
846,10
847,31
848,27
849,26
850,40
851,36
852,41
853,37
854,40
855,27
856,43
857,32
858,30
859,24
860,25
861,48
862,18
863,14
864,17
865,9
866,7
867,10
868,9
869,23
870,41
871,20
872,31
873,23
874,19
875,7
876,48
877,20
878,35
879,48
880,66
881,39
882,44
883,29
884,39
885,15
886,15
887,15
888,12
889,10
890,12
891,4
892,11
893,8
894,59
895,31
896,50
897,22
898,27
899,39
900,30
901,27
902,49
903,45
904,42
905,16
906,40
907,28
908,18
909,19
910,19
911,21
912,13
913,8
914,31
915,16
916,5
917,8
918,11
919,8
920,27
921,38
922,32
923,36
924,29
925,24
926,43
927,20
928,34
929,44
930,33
931,34
932,23
933,21
934,23
935,21
936,21
937,17
938,6
939,2
940,11
941,7
942,15
943,31
944,24
945,12
946,41
947,44
948,47
949,49
950,56
951,24
952,32
953,30
954,23
955,22
956,19
957,20
958,64
959,34
960,21
961,28
962,14
963,4
964,8
965,18
966,2
967,18
968,24
969,29
970,42
971,45
972,20
973,26
974,23
975,29
976,53
977,18
978,32
979,18
980,42
981,24
982,23
983,13
984,22
985,22
986,35
987,22
988,4
989,12
990,15
991,12
992,12
993,17
994,31
995,34
996,36
997,35
998,34
999,38
1000,29
1001,28
1002,21
1003,18
1004,22
1005,58
1006,17
1007,34
1008,19
1009,22
1010,14
1011,9
1012,7
1013,18
1014,15
1015,9
1016,25
1017,36
1018,29
1019,26
1020,42
1021,38
1022,40
1023,18
1024,31
1025,25
1026,33
1027,10
1028,33
1029,43
1030,21
1031,9
1032,13
1033,12
1034,17
1035,9
1036,15
1037,27
1038,11
1039,18
1040,37
1041,50
1042,22
1043,17
1044,26
1045,36
1046,20
1047,39
1048,16
1049,55
1050,36
1051,18
1052,30
1053,23
1054,24
1055,10
1056,10
1057,13
1058,24
1059,5
1060,7
1061,7
1062,20
1063,14
1064,25
1065,28
1066,24
1067,26
1068,35
1069,23
1070,42
1071,47
1072,41
1073,26
1074,35
1075,32
1076,14
1077,26
1078,22
1079,17
1080,11
1081,11
1082,16
1083,23
1084,2
1085,10
1086,29
1087,32
1088,20
1089,25
1090,20
1091,23
1092,46
1093,19
1094,15
1095,48
1096,34
1097,45
1098,41
1099,20
1100,43
1101,26
1102,19
1103,29
1104,27
1105,12
1106,18
1107,14
1108,6
1109,12
1110,22
1111,15
1112,47
1113,39
1114,43
1115,34
1116,28
1117,39
1118,26
1119,27
1120,55
1121,54
1122,35
1123,33
1124,22
1125,49
1126,29
1127,23
1128,33
1129,17
1130,22
1131,10
1132,19
1133,16
1134,11
1135,24
1136,19
1137,20
1138,28
1139,19
1140,50
1141,29
1142,22
1143,42
1144,37
1145,51
1146,37
1147,32
1148,33
1149,43
1150,27
1151,41
1152,34
1153,11
1154,18
1155,10
1156,11
1157,5
1158,38
1159,12
1160,13
1161,11
1162,33
1163,21
1164,25
1165,35
1166,29
1167,37
1168,23
1169,18
1170,21
1171,33
1172,18
1173,21
1174,24
1175,24
1176,9
1177,9
