,count
0,70
1,64
2,54
3,44
4,35
5,28
6,25
7,24
8,24
9,26
10,28
11,30
12,31
13,32
14,34
15,34
16,35
17,34
18,32
19,29
20,26
21,24
22,22
23,20
24,18
25,17
26,15
27,14
28,13
29,14
30,15
31,18
32,22
33,26
34,29
35,32
36,33
37,33
38,32
39,32
40,32
41,33
42,33
43,32
44,29
45,26
46,21
47,17
48,13
49,11
50,10
51,10
52,10
53,11
54,12
55,15
56,19
57,22
58,25
59,27
60,30
61,32
62,33
63,35
64,36
65,37
66,38
67,38
68,36
69,32
70,26
71,22
72,18
73,15
74,13
75,12
76,13
77,14
78,18
79,23
80,28
81,33
82,38
83,41
84,41
85,40
86,40
87,39
88,39
89,37
90,36
91,33
92,32
93,30
94,28
95,25
96,22
97,17
98,13
99,10
100,11
101,14
102,19
103,26
104,32
105,35
106,36
107,36
108,36
109,38
110,41
111,43
112,43
113,41
114,38
115,35
116,32
117,28
118,25
119,22
120,21
121,20
122,20
123,19
124,17
125,16
126,16
127,17
128,20
129,22
130,24
131,25
132,26
133,27
134,28
135,30
136,31
137,32
138,32
139,31
140,29
141,26
142,23
143,22
144,22
145,22
146,21
147,19
148,17
149,16
150,16
151,18
152,20
153,22
154,24
155,25
156,26
157,26
158,27
159,28
160,30
161,31
162,33
163,34
164,34
165,34
166,31
167,27
168,23
169,19
170,17
171,17
172,18
173,21
174,23
175,26
176,28
177,30
178,30
179,30
180,31
181,31
182,32
183,31
184,29
185,27
186,26
187,26
188,26
189,24
190,21
191,18
192,15
193,13
194,12
195,11
196,11
197,12
198,15
199,18
200,23
201,28
202,32
203,36
204,37
205,37
206,35
207,32
208,30
209,29
210,28
211,27
212,26
213,24
214,21
215,18
216,15
217,13
218,13
219,13
220,14
221,17
222,20
223,25
224,30
225,34
226,36
227,37
228,37
229,36
230,34
231,31
232,28
233,26
234,24
235,22
236,20
237,18
238,15
239,12
240,10
241,8
242,7
243,7
244,8
245,9
246,11
247,14
248,18
249,21
250,25
251,30
252,34
253,36
254,36
255,33
256,29
257,24
258,19
259,14
260,11
261,10
262,11
263,12
264,12
265,12
266,12
267,13
268,14
269,18
270,23
271,29
272,33
273,37
274,38
275,39
276,39
277,38
278,37
279,35
280,34
281,32
282,30
283,29
284,27
285,25
286,25
287,24
288,24
289,23
290,21
291,18
292,15
293,13
294,13
295,15
296,18
297,22
298,25
299,26
300,26
301,27
302,27
