,count
0,817
1,605
2,587
3,699
4,701
5,586
6,624
7,617
8,574
9,584
10,446
11,666
12,589
13,532
14,609
15,588
16,636
17,656
18,601
19,555
20,572
21,652
22,613
23,579
24,636
25,657
26,575
27,636
28,557
29,552
30,533
31,545
32,638
33,745
34,696
35,624
36,629
37,639
38,582
39,651
40,574
41,608
42,572
43,581
44,563
45,607
46,709
47,682
48,525
49,500
50,560
51,549
52,589
53,537
54,655
55,629
56,533
57,632
58,614
59,537
60,669
61,634
62,610
63,606
64,570
65,544
66,659
67,646
68,688
69,557
70,689
71,684
72,622
73,641
74,676
75,626
76,686
77,753
78,637
79,562
80,588
81,605
82,724
83,599
84,601
85,577
86,534
87,590
88,664
89,729
90,589
91,586
92,602
93,580
94,606
95,641
96,655
97,500
98,581
99,556
100,639
101,591
102,547
103,606
104,627
105,616
106,564
107,573
108,501
109,606
110,570
111,533
112,614
113,666
114,619
115,607
116,582
117,537
118,592
119,665
120,579
121,455
122,829
123,866
124,725
125,686
126,695
127,677
128,595
129,600
130,633
131,541
132,548
133,648
134,545
135,517
136,606
137,643
138,616
139,557
140,543
141,558
142,479
143,606
144,569
145,532
146,514
147,513
148,649
149,779
150,744
151,586
152,606
153,713
154,561
155,620
156,692
157,691
158,585
159,615
160,654
161,594
162,637
163,654
164,622
165,782
166,712
167,581
168,583
169,641
170,640
171,615
172,685
173,661
174,566
175,553
176,654
177,478
178,553
179,674
180,699
181,644
182,695
183,681
184,697
185,612
186,622
187,529
188,576
189,571
190,569
191,527
192,586
193,637
194,489
195,535
196,568
197,547
198,622
199,646
200,514
201,618
202,531
203,601
204,491
205,582
206,650
207,558
208,667
209,553
210,627
211,498
212,592
213,653
214,629
215,793
216,571
217,630
218,553
219,565
220,548
221,657
222,577
223,514
224,551
225,580
226,616
227,726
228,674
229,582
230,553
231,579
232,591
233,653
234,602
235,543
236,643
237,571
238,475
239,525
240,561
241,537
242,569
243,583
244,597
245,560
246,586
247,530
248,580
249,492
250,599
251,616
252,501
253,570
254,473
255,573
256,584
257,544
258,455
259,479
260,487
261,523
262,550
263,566
264,481
265,490
266,638
267,645
268,591
269,554
270,564
271,705
272,684
273,624
274,637
275,606
276,582
277,598
278,631
279,566
280,547
281,652
282,612
283,475
284,661
285,620
286,731
287,617
288,772
289,693
290,624
291,661
292,581
293,558
294,668
295,669
296,701
297,665
298,641
299,638
300,572
301,643
302,667
303,614
304,699
305,710
306,628
307,579
308,626
309,532
310,551
311,607
312,722
313,623
314,530
315,613
316,595
317,632
318,548
319,545
320,628
321,523
322,525
323,522
324,651
325,530
326,561
327,693
328,448
329,686
330,551
331,633
332,598
333,596
334,519
335,655
336,537
337,542
338,627
339,634
340,613
341,532
342,551
343,579
344,592
345,619
346,673
347,632
348,695
349,617
350,577
351,545
352,584
353,640
354,527
355,603
356,454
357,605
358,539
359,671
360,542
361,599
362,572
363,669
364,703
365,840
366,672
367,656
368,717
369,648
370,591
371,650
372,670
373,581
374,660
375,681
376,575
377,567
378,550
379,674
380,572
381,565
382,715
383,640
384,601
385,522
386,808
387,596
388,666
389,614
390,616
391,523
392,688
393,646
394,624
395,585
396,672
397,706
398,705
399,707
400,648
401,576
402,633
403,694
404,861
405,612
406,682
407,581
408,668
409,638
410,682
411,826
412,612
413,602
414,685
415,742
416,768
417,733
418,661
419,632
420,706
421,651
422,678
423,606
424,628
425,625
426,641
427,657
428,650
429,599
430,633
431,621
432,617
433,512
434,657
435,568
436,689
437,679
438,627
439,733
440,554
441,549
442,551
443,538
444,565
445,608
446,670
447,595
448,671
449,605
450,562
451,458
452,624
453,678
454,607
455,600
456,664
457,582
458,541
459,665
460,660
461,537
462,477
463,567
464,540
465,586
466,641
467,757
468,540
469,556
470,623
471,604
472,591
473,601
474,540
475,730
476,687
477,591
478,655
479,580
480,613
481,586
482,506
483,530
484,433
485,592
486,589
487,555
488,667
489,633
490,635
491,533
492,659
493,605
494,620
495,662
496,603
497,558
498,676
499,601
500,676
501,737
502,664
503,704
504,595
505,618
506,548
507,647
508,588
509,630
510,640
511,563
512,612
513,563
514,559
515,668
516,624
517,706
518,568
519,578
520,650
521,525
522,648
523,587
524,707
525,736
526,548
527,577
528,592
529,615
530,565
531,537
532,628
533,574
534,636
535,534
536,602
537,625
538,521
539,521
540,597
541,614
542,559
543,590
544,700
545,665
546,656
547,594
548,657
549,726
550,593
551,580
552,603
553,536
554,723
555,528
556,578
557,621
558,537
559,537
560,579
561,525
562,535
563,489
564,645
565,522
566,566
567,601
568,649
569,566
570,512
571,606
572,550
573,643
574,543
575,586
576,556
577,580
578,628
579,547
580,613
581,631
582,574
583,639
584,699
585,762
586,684
587,562
588,511
589,540
590,459
591,496
592,630
593,586
594,622
595,598
596,651
597,530
598,530
599,613
600,594
601,532
602,561
603,621
604,610
605,583
606,593
607,618
608,682
609,689
610,534
611,552
612,587
613,567
614,579
615,614
616,612
617,565
618,537
619,514
620,606
621,643
622,641
623,564
624,571
625,778
626,649
627,667
628,641
629,647
630,699
631,608
632,503
633,491
634,594
635,546
636,621
637,515
638,585
639,647
640,611
641,640
642,717
643,710
644,733
645,696
646,532
647,551
648,677
649,672
650,660
651,540
652,506
653,539
654,566
655,612
656,711
657,577
658,607
659,479
660,495
661,600
662,711
663,582
664,653
665,530
666,661
667,532
668,693
669,750
670,761
671,593
672,648
673,612
674,581
675,1005
676,799
677,601
678,555
679,629
680,554
681,478
682,720
683,572
684,624
685,663
686,592
687,628
688,552
689,617
690,610
691,725
692,608
693,639
694,673
695,721
696,492
697,620
698,662
699,642
700,592
701,654
702,577
703,561
704,691
705,667
706,608
707,639
708,577
709,603
710,630
711,879
712,990
713,686
714,824
715,628
716,682
717,673
718,672
719,708
720,618
721,661
722,668
723,616
724,601
725,567
726,572
727,531
728,621
729,686
730,886
731,612
732,739
733,643
734,645
735,616
736,670
737,551
738,628
739,681
740,612
741,642
742,629
743,614
744,662
745,524
746,808
747,627
748,552
749,598
750,629
751,627
752,647
753,586
754,692
755,581
756,701
757,648
758,521
759,593
760,697
761,661
762,727
763,548
764,676
765,704
766,655
767,723
768,746
769,686
770,565
771,585
772,571
773,726
774,670
775,733
776,666
777,625
778,671
779,558
780,612
781,671
782,648
783,602
784,544
785,671
786,662
787,648
788,650
789,661
790,682
791,634
792,673
793,678
794,800
795,773
796,697
797,624
798,651
799,672
800,595
801,574
802,694
803,808
804,655
805,696
806,581
807,616
808,665
809,635
810,628
811,706
812,669
813,602
814,654
815,604
816,721
817,795
818,576
819,561
820,613
821,620
822,595
823,666
824,674
825,635
826,753
827,633
828,629
829,678
830,665
831,743
832,590
833,597
834,626
835,569
836,615
837,603
838,617
839,587
840,604
841,531
842,566
843,582
844,671
845,716
846,596
847,727
848,672
849,635
850,590
851,610
852,718
853,670
854,653
855,593
856,681
857,581
858,657
859,650
860,697
861,591
862,700
863,667
864,632
865,729
866,674
867,729
868,639
869,772
870,730
871,728
872,714
873,649
874,735
875,560
876,608
877,722
878,628
879,666
880,752
881,699
882,816
883,657
884,599
885,652
886,641
887,632
888,670
889,713
890,605
891,593
892,566
893,540
894,606
895,666
896,659
897,607
898,615
899,542
900,568
901,612
902,571
903,704
904,672
905,882
906,973
907,866
908,858
909,745
910,722
911,686
912,661
913,664
914,740
915,704
916,664
917,625
918,576
919,545
920,663
921,631
922,764
923,668
924,812
925,680
926,770
927,675
928,653
929,608
930,653
931,662
932,648
933,587
934,660
935,589
936,609
937,627
938,607
939,588
940,560
941,612
942,646
943,776
944,756
945,718
946,700
947,651
948,629
949,604
950,660
951,716
952,668
953,777
954,617
955,605
956,630
957,647
958,648
959,635
960,592
961,644
962,660
963,595
964,709
965,705
966,656
967,579
968,533
969,612
970,526
971,564
972,688
973,735
974,592
975,682
976,663
977,729
978,704
979,619
980,672
981,699
982,741
983,762
984,976
985,792
986,700
987,651
988,608
989,673
990,699
991,658
992,744
993,781
994,739
995,744
996,600
997,620
998,602
999,624
1000,620
1001,638
1002,654
1003,587
1004,644
1005,626
1006,684
1007,736
1008,614
1009,501
1010,728
1011,678
1012,693
1013,707
1014,749
1015,630
1016,673
1017,563
1018,636
1019,745
1020,598
1021,630
1022,720
1023,707
1024,609
1025,642
1026,650
1027,825
1028,756
1029,732
1030,585
1031,694
1032,633
1033,660
1034,795
1035,636
1036,603
1037,670
1038,646
1039,777
1040,679
1041,614
1042,656
1043,630
1044,654
1045,622
1046,674
1047,614
1048,583
1049,570
1050,568
1051,626
1052,672
1053,633
1054,609
1055,564
1056,604
1057,693
1058,653
1059,532
1060,645
1061,552
1062,614
1063,587
1064,695
1065,642
1066,768
1067,683
1068,721
1069,680
1070,737
1071,618
1072,606
1073,663
1074,627
1075,692
1076,701
1077,759
1078,721
1079,711
1080,673
1081,713
1082,615
1083,866
1084,824
1085,721
1086,634
1087,667
1088,609
1089,590
1090,633
1091,566
1092,690
1093,670
1094,665
1095,1010
1096,592
1097,650
1098,632
1099,736
1100,634
1101,739
1102,832
1103,701
1104,619
1105,639
1106,569
1107,592
1108,660
1109,674
1110,684
1111,569
1112,625
1113,665
1114,683
1115,686
1116,607
1117,639
1118,577
1119,573
1120,649
1121,643
1122,672
1123,602
1124,543
1125,777
1126,526
1127,663
1128,662
1129,647
1130,629
1131,598
1132,743
1133,621
1134,639
1135,696
1136,636
1137,707
1138,626
1139,723
1140,726
1141,555
1142,647
1143,767
1144,609
1145,630
1146,651
1147,575
1148,664
1149,572
1150,852
1151,642
1152,760
1153,684
1154,590
1155,663
1156,776
1157,652
1158,600
1159,766
1160,758
1161,675
1162,709
1163,744
1164,739
1165,676
1166,723
1167,674
1168,704
1169,711
1170,840
1171,733
1172,703
1173,617
1174,658
1175,579
1176,596
1177,576
1178,567
1179,625
1180,644
1181,652
1182,671
1183,648
1184,590
1185,594
1186,620
1187,796
1188,757
1189,572
1190,742
1191,651
1192,691
1193,598
1194,644
1195,787
1196,656
1197,678
1198,589
1199,586
1200,700
1201,732
1202,682
1203,593
1204,583
1205,597
1206,734
1207,712
1208,711
1209,735
1210,771
1211,647
1212,742
1213,678
1214,623
1215,731
1216,669
1217,603
1218,649
1219,599
1220,744
1221,520
1222,675
1223,643
1224,615
1225,664
1226,584
1227,696
1228,658
1229,639
1230,588
1231,665
1232,578
1233,613
1234,638
1235,658
1236,582
1237,612
1238,500
1239,580
1240,572
1241,657
1242,553
1243,707
1244,625
1245,631
1246,491
1247,505
1248,653
1249,503
1250,625
1251,729
1252,588
1253,706
1254,542
1255,668
1256,656
1257,713
1258,631
1259,639
1260,583
1261,542
1262,573
1263,626
1264,553
1265,621
1266,640
1267,702
1268,596
1269,582
1270,677
1271,668
1272,675
1273,794
1274,583
1275,543
1276,602
1277,615
1278,611
1279,676
1280,759
1281,694
1282,717
1283,596
1284,652
1285,673
1286,548
1287,609
1288,620
1289,600
1290,627
1291,682
1292,663
1293,697
1294,643
1295,701
1296,679
1297,569
1298,551
1299,548
1300,709
1301,579
1302,607
1303,623
1304,598
1305,522
1306,604
1307,580
1308,592
1309,606
1310,539
1311,558
1312,583
1313,773
1314,640
1315,619
1316,477
1317,563
1318,618
1319,612
1320,639
1321,606
1322,605
1323,728
1324,616
1325,645
1326,490
1327,725
1328,595
1329,612
1330,591
1331,682
1332,731
1333,701
1334,727
1335,731
1336,604
1337,631
1338,557
1339,652
1340,624
1341,757
1342,844
1343,780
1344,717
1345,751
1346,776
1347,667
1348,619
1349,696
1350,764
1351,706
1352,694
1353,679
1354,545
1355,631
1356,633
1357,594
1358,696
1359,706
1360,554
1361,676
1362,671
1363,583
1364,721
1365,625
1366,570
1367,543
1368,552
1369,599
1370,678
1371,641
1372,635
1373,632
1374,637
1375,627
1376,706
1377,715
1378,671
1379,758
1380,693
1381,668
1382,615
1383,764
1384,619
1385,631
1386,527
1387,619
1388,640
1389,619
1390,668
1391,562
1392,582
1393,687
1394,680
1395,626
1396,593
1397,606
1398,653
1399,770
1400,704
1401,554
1402,609
1403,595
1404,754
1405,622
1406,580
1407,569
1408,518
1409,533
1410,565
1411,589
1412,616
1413,538
1414,563
1415,599
1416,599
1417,541
1418,646
1419,671
1420,597
1421,651
1422,592
1423,628
1424,531
1425,500
1426,606
1427,506
1428,637
1429,534
1430,508
1431,619
1432,688
1433,590
1434,512
1435,667
1436,674
1437,791
1438,608
1439,672
1440,643
1441,573
1442,617
1443,582
1444,746
1445,681
1446,719
1447,690
1448,551
1449,657
1450,668
1451,626
1452,673
1453,682
1454,626
1455,542
1456,749
1457,617
1458,652
1459,591
1460,657
1461,860
1462,607
1463,671
1464,625
1465,647
1466,641
1467,679
1468,611
1469,583
1470,579
1471,607
1472,615
1473,635
1474,697
1475,645
1476,625
1477,629
1478,539
1479,672
1480,649
1481,656
1482,564
1483,581
1484,682
1485,590
1486,690
1487,646
1488,660
1489,565
1490,618
1491,613
1492,612
1493,609
1494,686
1495,719
1496,606
1497,587
1498,596
1499,676
1500,698
1501,648
1502,693
1503,614
1504,573
1505,589
1506,616
1507,677
1508,628
1509,617
1510,600
1511,580
1512,598
1513,610
1514,606
1515,639
1516,612
1517,662
1518,592
1519,572
1520,719
1521,604
1522,668
1523,578
1524,693
1525,686
1526,638
1527,593
1528,601
1529,689
1530,774
1531,674
1532,650
1533,609
1534,692
1535,594
1536,573
1537,585
1538,704
1539,548
1540,666
1541,645
1542,625
1543,582
1544,614
1545,676
1546,559
1547,514
1548,565
1549,561
1550,598
1551,661
1552,648
1553,488
1554,559
1555,584
1556,548
1557,563
1558,678
1559,658
1560,580
1561,602
1562,629
1563,586
1564,503
1565,673
1566,584
1567,603
1568,595
1569,621
1570,495
1571,580
1572,671
1573,615
1574,631
1575,579
1576,573
1577,513
1578,599
1579,659
1580,635
1581,580
1582,649
1583,662
1584,665
1585,648
1586,680
1587,628
1588,553
1589,589
1590,613
1591,606
1592,601
1593,560
1594,589
1595,644
1596,586
1597,543
1598,653
1599,596
1600,671
1601,717
1602,689
1603,671
1604,639
1605,630
1606,568
1607,605
1608,516
1609,637
1610,521
1611,614
1612,622
1613,540
1614,635
1615,660
1616,589
1617,578
1618,691
1619,594
1620,636
1621,621
1622,646
1623,663
1624,623
1625,634
1626,626
1627,568
1628,616
1629,666
1630,597
1631,670
1632,577
1633,585
1634,593
1635,631
1636,792
1637,598
1638,666
1639,562
1640,638
1641,558
1642,664
1643,602
1644,697
1645,657
1646,613
1647,584
1648,598
1649,619
1650,639
1651,653
1652,736
1653,672
1654,627
1655,682
1656,653
1657,645
1658,727
1659,646
1660,584
1661,543
1662,598
1663,759
1664,707
1665,549
1666,677
1667,669
1668,580
1669,569
1670,606
1671,664
1672,600
1673,572
1674,654
1675,578
1676,672
1677,745
1678,575
1679,617
1680,629
1681,557
1682,595
1683,561
1684,575
1685,534
1686,627
1687,641
1688,535
1689,644
1690,631
1691,807
1692,450
1693,573
1694,660
1695,636
1696,603
1697,668
1698,651
1699,630
1700,619
1701,573
1702,704
1703,644
1704,573
1705,629
1706,709
1707,686
1708,674
1709,600
1710,496
1711,612
1712,675
1713,843
1714,739
1715,527
1716,572
1717,588
1718,616
1719,680
1720,723
1721,772
1722,662
1723,559
