,count
0,2
1,2
2,2
3,3
4,1
5,4
6,2
7,3
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,2
50,0
51,1
52,0
53,0
54,0
55,0
56,2
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,2
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,2
100,2
101,0
102,0
103,0
104,0
105,1
106,0
107,2
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,2
124,0
125,4
126,0
127,2
128,0
129,0
130,2
131,2
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,2
141,0
142,0
143,1
144,1
145,0
146,2
147,1
148,1
149,1
150,3
151,0
152,6
153,4
154,5
155,2
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,3
164,0
165,4
166,2
167,4
168,19
169,0
170,4
171,0
172,0
173,4
174,2
175,8
176,4
177,1
178,3
179,3
180,0
181,4
182,2
183,5
184,1
185,4
186,3
187,3
188,3
189,3
190,4
191,4
192,3
193,4
194,3
195,9
196,9
197,201
198,822
199,768
200,904
201,884
202,860
203,933
204,918
205,806
206,916
207,910
208,930
209,932
210,912
211,915
212,781
213,953
214,969
215,989
216,918
217,913
218,865
219,753
220,911
221,900
222,888
223,891
224,799
225,843
226,824
227,873
228,844
229,821
230,908
231,831
232,802
233,743
234,847
235,840
236,838
237,897
238,887
239,811
240,765
241,804
242,868
243,972
244,856
245,919
246,817
247,822
248,763
249,859
250,837
251,886
252,880
253,862
254,716
255,861
256,843
257,879
258,752
259,815
260,684
261,710
262,845
263,845
264,877
265,755
266,796
267,790
268,685
269,934
270,863
271,828
272,843
273,908
274,882
275,787
276,838
277,844
278,937
279,834
280,824
281,783
282,674
283,785
284,850
285,882
286,853
287,876
288,770
289,703
290,758
291,813
292,837
293,818
294,819
295,750
296,635
297,731
298,710
299,788
300,857
301,908
302,798
303,717
304,831
305,934
306,910
307,921
308,850
309,729
310,746
311,824
312,822
313,764
314,801
315,863
316,767
317,662
318,803
319,701
320,787
321,733
322,761
323,766
324,690
325,540
326,362
327,471
328,403
329,601
330,717
331,658
332,679
333,719
334,817
335,840
336,829
337,643
338,551
339,546
340,565
341,531
342,542
343,541
344,475
345,489
346,566
347,603
348,558
349,546
350,577
351,536
352,483
353,556
354,539
355,532
356,498
357,416
358,317
359,349
360,473
361,530
362,504
363,527
364,489
365,1002
366,673
367,849
368,834
369,841
370,905
371,819
372,787
373,671
374,689
375,689
376,763
377,870
378,798
379,826
380,672
381,830
382,851
383,917
384,881
385,789
386,849
387,723
388,799
389,879
390,841
391,837
392,774
393,745
394,717
395,832
396,872
397,804
398,890
399,886
400,763
401,698
402,432
403,236
404,316
405,265
406,322
407,321
408,243
409,224
410,269
411,242
412,270
413,295
414,311
415,210
416,228
417,264
418,254
419,149
420,274
421,211
422,187
423,388
424,859
425,248
426,39
427,8
428,10
429,5
430,77
431,245
432,431
433,396
434,517
435,413
436,231
437,146
438,336
439,355
440,381
441,232
442,118
443,302
444,405
445,399
446,509
447,619
448,762
449,637
450,612
451,667
452,610
453,708
454,717
455,716
456,656
457,607
458,620
459,641
460,661
461,641
462,719
463,711
464,548
465,727
466,730
467,648
468,696
469,744
470,684
471,637
472,678
473,679
474,680
475,581
476,679
477,739
478,590
479,630
480,601
481,620
482,644
483,650
484,715
485,662
486,695
487,667
488,757
489,721
490,727
491,655
492,534
493,633
494,746
495,664
496,701
497,667
498,657
499,542
500,652
501,648
502,738
503,746
504,861
505,680
506,696
507,764
508,827
509,757
510,530
511,629
512,413
513,503
514,488
515,620
516,717
517,701
518,781
519,778
520,751
521,772
522,700
523,628
524,677
525,811
526,761
527,720
528,708
529,722
530,663
531,750
532,809
533,701
534,599
535,552
536,535
537,606
538,616
539,622
540,566
541,290
542,203
543,334
544,750
545,686
546,796
